Paquete,Cliente,Tipo genero,Nº Paquete,bruto,Total Fra,Fixing,Dto.,Fino Fra,Igi,Fino x Precio,Base,fino_factura,Expedición,P.V. Jof Cierre,Fra a Jofisa,Margen
E47_15,Nova Joia,Chatarra,15,356.02,€22343.44,€92.41,6.50%,247.46,4.50%,€22867.68,€21381.28,247.46,E47,€92.16,€22805.82,1424.5
E47_16,OrCash,Lingote Chatarra,16,335.50,€22503.81,€92.15,5.00%,245.99,4.50%,€22668.16,€21534.75,245.99,E47,€91.90,€22606.66,1071.9
E47_17,OrCash,Lingote Chatarra,17,528.10,€35630.12,€92.69,5.00%,387.21,4.50%,€35890.33,€34095.81,387.21,E47,€92.44,€35793.53,1697.7
E47_18,OrCash,Lingote Chatarra,18,631.97,€42366.67,€92.10,5.00%,463.37,4.50%,€42676.08,€40542.27,463.37,E47,€91.85,€42560.23,2018.0
E47_19,Gaudia,Lingote Chatarra,19,412.22,€26765.80,€92.38,5.00%,291.85,4.50%,€26961.27,€25613.20,291.85,E47,€92.13,€26888.30,1275.1
E39_1,Nova Joia,Chatarra,1,234.59,€11130.12,€69.02,6.50%,165.04,4.50%,€11391.26,€10650.83,165.04,E39,€68.77,€11350.00,699.2
E40_1,Gemma d'Or,Lingote fino,1,175.00,€11464.50,€69.70,6.00%,174.98,,€12196.28,€11464.50,174.98,E40,€69.45,€12152.53,688.0
E41_1,La Milla d'Or,Chatarra,1,417.61,€21460.46,€71.35,6.50%,307.83,4.50%,€21963.98,€20536.33,307.83,E41,€71.10,€21887.03,1350.7
E42_1,Racó d'Or,Lingote Chatarra,1,153.47,€7957.62,€74.24,5.60%,108.66,4.50%,€8066.68,€7614.94,108.66,E42,€73.99,€8039.51,424.6
E43_1,Gemma d'Or,Lingote Chatarra,1,210.74,€11990.50,€79.77,6.50%,153.84,4.50%,€12271.83,€11474.16,153.84,E43,€79.52,€12233.37,759.2
E44_1,Racó d'Or,Lingote Chatarra,1,586.39,€35501.38,€80.92,5.00%,441.93,4.50%,€35760.64,€33972.61,441.93,E44,€80.66,€35645.74,1673.1
